# Elements:
C	C(13)	H	H+	N	O	O(18)	S
	C					O	
12	13.003355	1.007825	1.007276	14.003074	15.994915	17.99916	31.97207

# Masses:
C	C(13)	H	H+	N	O	O(18)	S	Mass	Name
4	0	5	1	1	1	0	0	84.04439	C4H5NO H+ 
0	0	0	0	0	0	0	0	84.05498505	 
5	0	9	1	1	0	0	0	84.080775	C5H9N H+ 
4	0	4	1	0	2	0	0	85.028406	C4H4O2 H+ 
5	0	8	1	0	1	0	0	85.064791	C5H8O H+ 
6	0	12	1	0	0	0	0	85.101176	C6H12 H+ 
0	0	0	0	0	0	0	0	86.00517273	 
4	0	7	1	1	1	0	0	86.06004	C4H7NO H+ 
5	0	11	1	1	0	0	0	86.096425	C5H11N H+ 
4	0	6	1	0	2	0	0	87.044056	C4H6O2 H+ 
5	0	10	1	0	1	0	0	87.080441	C5H10O H+ 
3	0	5	1	1	2	0	0	88.039305	C3H5NO2 H+ 
4	0	9	1	1	1	0	0	88.07569	C4H9NO H+ 
3	0	4	1	0	3	0	0	89.023321	C3H4O3 H+ 
0	0	0	0	0	0	0	0	89.03381348	 
7	0	4	1	0	0	0	0	89.038576	C7H4 H+ 
4	0	8	1	0	2	0	0	89.059706	C4H8O2 H+ 
2	0	3	1	1	3	0	0	90.01857	C2H3NO3 H+ 
3	0	7	1	1	2	0	0	90.054955	C3H7NO2 H+ 
4	0	11	1	1	1	0	0	90.09134	C4H11NO H+ 
3	0	6	1	0	3	0	0	91.038971	C3H6O3 H+ 
7	0	6	1	0	0	0	0	91.054226	C7H6 H+ 
0	0	0	0	0	0	0	0	91.05926514	 
4	0	10	1	0	2	0	0	91.075356	C4H10O2 H+ 
0	0	0	0	0	0	0	0	92.01612091	 
0	0	0	0	0	0	0	0	92.061409	 
3	0	9	1	1	2	0	0	92.070605	C3H9NO2 H+ 
0	0	0	0	0	0	0	0	93.03746796	 
3	0	8	1	0	3	0	0	93.054621	C3H8O3 H+ 
7	0	8	1	0	0	0	0	93.069876	C7H8 H+ 
4	0	12	1	0	2	0	0	93.091006	C4H12O2 H+ 
0	0	0	0	0	0	0	0	93.95581055	 
0	0	0	0	0	0	0	0	93.9909668	 
0	0	0	0	0	0	0	0	94.0386734	 
6	0	7	1	1	0	0	0	94.065125	C6H7N H+ 
0	0	0	0	0	0	0	0	94.08150482	 
0	0	0	0	0	0	0	0	95.01643372	 
0	0	0	0	0	0	0	0	95.03342438	 
6	0	6	1	0	1	0	0	95.049141	C6H6O H+ 
7	0	10	1	0	0	0	0	95.085526	C7H10 H+ 
5	0	5	1	1	1	0	0	96.04439	C5H5NO H+ 
0	0	0	0	0	0	0	0	96.05870056	 
6	0	9	1	1	0	0	0	96.080775	C6H9N H+ 
5	0	4	1	0	2	0	0	97.028406	C5H4O2 H+ 
0	0	0	0	0	0	0	0	97.03900146	 
