# Elements:
C	C(13)	H	H+	N	O	O(18)	S
	C					O	
12	13.003355	1.007825	1.007276	14.003074	15.994915	17.99916	31.97207

# Masses:
C	C(13)	H	H+	N	O	O(18)	S	Mass	Name
12	0	14	1	0	0	0	0	159.116826	C12H14 H+ 
9	0	18	1	0	2	0	0	159.137956	C9H18O2 H+ 
5	0	5	1	1	5	0	0	160.02405	C5H5NO5 H+ 
6	0	9	1	1	4	0	0	160.060435	C6H9NO4 H+ 
10	0	9	1	1	1	0	0	160.07569	C10H9NO H+ 
7	0	13	1	1	3	0	0	160.09682	C7H13NO3 H+ 
11	0	13	1	1	0	0	0	160.112075	C11H13N H+ 
8	0	17	1	1	2	0	0	160.133205	C8H17NO2 H+ 
9	0	21	1	1	1	0	0	160.16959	C9H21NO H+ 
6	0	8	1	0	5	0	0	161.044451	C6H8O5 H+ 
10	0	8	1	0	2	0	0	161.059706	C10H8O2 H+ 
7	0	12	1	0	4	0	0	161.080836	C7H12O4 H+ 
11	0	12	1	0	1	0	0	161.096091	C11H12O H+ 
8	0	16	1	0	3	0	0	161.117221	C8H16O3 H+ 
12	0	16	1	0	0	0	0	161.132476	C12H16 H+ 
9	0	20	1	0	2	0	0	161.153606	C9H20O2 H+ 
5	0	7	1	1	5	0	0	162.0397	C5H7NO5 H+ 
9	0	7	1	1	2	0	0	162.054955	C9H7NO2 H+ 
6	0	11	1	1	4	0	0	162.076085	C6H11NO4 H+ 
10	0	11	1	1	1	0	0	162.09134	C10H11NO H+ 
7	0	15	1	1	3	0	0	162.11247	C7H15NO3 H+ 
11	0	15	1	1	0	0	0	162.127725	C11H15N H+ 
0	0	0	0	0	0	0	0	162.1400452	 
8	0	19	1	1	2	0	0	162.148855	C8H19NO2 H+ 
9	0	6	1	0	3	0	0	163.038971	C9H6O3 H+ 
10	0	10	1	0	2	0	0	163.075356	C10H10O2 H+ 
11	0	14	1	0	1	0	0	163.111741	C11H14O H+ 
8	0	18	1	0	3	0	0	163.132871	C8H18O3 H+ 
12	0	18	1	0	0	0	0	163.148126	C12H18 H+ 
8	0	5	1	1	3	0	0	164.03422	C8H5NO3 H+ 
5	0	9	1	1	5	0	0	164.05535	C5H9NO5 H+ 
6	0	13	1	1	4	0	0	164.091735	C6H13NO4 H+ 
10	0	13	1	1	1	0	0	164.10699	C10H13NO H+ 
7	0	17	1	1	3	0	0	164.12812	C7H17NO3 H+ 
8	0	4	1	0	4	0	0	165.018236	C8H4O4 H+ 
9	0	8	1	0	3	0	0	165.054621	C9H8O3 H+ 
10	0	12	1	0	2	0	0	165.091006	C10H12O2 H+ 
11	0	16	1	0	1	0	0	165.127391	C11H16O H+ 
8	0	20	1	0	3	0	0	165.148521	C8H20O3 H+ 
12	0	20	1	0	0	0	0	165.163776	C12H20 H+ 
8	0	7	1	1	3	0	0	166.04987	C8H7NO3 H+ 
5	0	11	1	1	5	0	0	166.071	C5H11NO5 H+ 
6	0	15	1	1	4	0	0	166.107385	C6H15NO4 H+ 
10	0	15	1	1	1	0	0	166.12264	C10H15NO H+ 
7	0	19	1	1	3	0	0	166.14377	C7H19NO3 H+ 
11	0	19	1	1	0	0	0	166.159025	C11H19N H+ 
8	0	6	1	0	4	0	0	167.033886	C8H6O4 H+ 
0	0	0	0	0	0	0	0	167.056839	 
10	0	14	1	0	2	0	0	167.106656	C10H14O2 H+ 
11	0	18	1	0	1	0	0	167.143041	C11H18O H+ 
12	0	22	1	0	0	0	0	167.179426	C12H22 H+ 
0	0	0	0	0	0	0	0	168.0118866	 
0	0	0	0	0	0	0	0	168.0557861	 
8	0	9	1	1	3	0	0	168.06552	C8H9NO3 H+ 
0	0	0	0	0	0	0	0	168.1109467	 
10	0	17	1	1	1	0	0	168.13829	C10H17NO H+ 
0	0	0	0	0	0	0	0	168.1870728	 
8	0	8	1	0	4	0	0	169.049536	C8H8O4 H+ 
9	0	12	1	0	3	0	0	169.085921	C9H12O3 H+ 
10	0	16	1	0	2	0	0	169.122306	C10H16O2 H+ 
11	0	20	1	0	1	0	0	169.158691	C11H20O H+ 
12	0	24	1	0	0	0	0	169.195076	C12H24 H+ 
7	0	7	1	1	4	0	0	170.044785	C7H7NO4 H+ 
8	0	11	1	1	3	0	0	170.08117	C8H11NO3 H+ 
10	0	19	1	1	1	0	0	170.15394	C10H19NO H+ 
7	0	6	1	0	5	0	0	171.028801	C7H6O5 H+ 
8	0	10	1	0	4	0	0	171.065186	C8H10O4 H+ 
9	0	14	1	0	3	0	0	171.101571	C9H14O3 H+ 
10	0	18	1	0	2	0	0	171.137956	C10H18O2 H+ 
11	0	22	1	0	1	0	0	171.174341	C11H22O H+ 
0	0	0	0	0	0	0	0	172.0440521	 
7	0	9	1	1	4	0	0	172.060435	C7H9NO4 H+ 
8	0	13	1	1	3	0	0	172.09682	C8H13NO3 H+ 
9	0	17	1	1	2	0	0	172.133205	C9H17NO2 H+ 
10	0	21	1	1	1	0	0	172.16959	C10H21NO H+ 
7	0	8	1	0	5	0	0	173.044451	C7H8O5 H+ 
8	0	12	1	0	4	0	0	173.080836	C8H12O4 H+ 
9	0	16	1	0	3	0	0	173.117221	C9H16O3 H+ 
10	0	20	1	0	2	0	0	173.153606	C10H20O2 H+ 
6	0	7	1	1	5	0	0	174.0397	C6H7NO5 H+ 
0	0	0	0	0	0	0	0	174.0830688	 
8	0	15	1	1	3	0	0	174.11247	C8H15NO3 H+ 
12	0	15	1	1	0	0	0	174.127725	C12H15N H+ 
9	0	19	1	1	2	0	0	174.148855	C9H19NO2 H+ 
10	0	23	1	1	1	0	0	174.18524	C10H23NO H+ 
0	0	0	0	0	0	0	0	174.9637299	 
6	0	6	1	0	6	0	0	175.023716	C6H6O6 H+ 
7	0	10	1	0	5	0	0	175.060101	C7H10O5 H+ 
11	0	10	1	0	2	0	0	175.075356	C11H10O2 H+ 
8	0	14	1	0	4	0	0	175.096486	C8H14O4 H+ 
12	0	14	1	0	1	0	0	175.111741	C12H14O H+ 
9	0	18	1	0	3	0	0	175.132871	C9H18O3 H+ 
13	0	18	1	0	0	0	0	175.148126	C13H18 H+ 
10	0	22	1	0	2	0	0	175.169256	C10H22O2 H+ 
9	0	5	1	1	3	0	0	176.03422	C9H5NO3 H+ 
6	0	9	1	1	5	0	0	176.05535	C6H9NO5 H+ 
7	0	13	1	1	4	0	0	176.091735	C7H13NO4 H+ 
11	0	13	1	1	1	0	0	176.10699	C11H13NO H+ 
8	0	17	1	1	3	0	0	176.12812	C8H17NO3 H+ 
12	0	17	1	1	0	0	0	176.143375	C12H17N H+ 
9	0	21	1	1	2	0	0	176.164505	C9H21NO2 H+ 
9	0	4	1	0	4	0	0	177.018236	C9H4O4 H+ 
6	0	8	1	0	6	0	0	177.039366	C6H8O6 H+ 
10	0	8	1	0	3	0	0	177.054621	C10H8O3 H+ 
7	0	12	1	0	5	0	0	177.075751	C7H12O5 H+ 
11	0	12	1	0	2	0	0	177.091006	C11H12O2 H+ 
8	0	16	1	0	4	0	0	177.112136	C8H16O4 H+ 
12	0	16	1	0	1	0	0	177.127391	C12H16O H+ 
9	0	20	1	0	3	0	0	177.148521	C9H20O3 H+ 
13	0	20	1	0	0	0	0	177.163776	C13H20 H+ 
10	0	24	1	0	2	0	0	177.184906	C10H24O2 H+ 
5	0	7	1	1	6	0	0	178.034615	C5H7NO6 H+ 
9	0	7	1	1	3	0	0	178.04987	C9H7NO3 H+ 
6	0	11	1	1	5	0	0	178.071	C6H11NO5 H+ 
10	0	11	1	1	2	0	0	178.086255	C10H11NO2 H+ 
7	0	15	1	1	4	0	0	178.107385	C7H15NO4 H+ 
11	0	15	1	1	1	0	0	178.12264	C11H15NO H+ 
8	0	19	1	1	3	0	0	178.14377	C8H19NO3 H+ 
12	0	19	1	1	0	0	0	178.159025	C12H19N H+ 
9	0	23	1	1	2	0	0	178.180155	C9H23NO2 H+ 
9	0	6	1	0	4	0	0	179.033886	C9H6O4 H+ 
10	0	10	1	0	3	0	0	179.070271	C10H10O3 H+ 
14	0	10	1	0	0	0	0	179.085526	C14H10 H+ 
11	0	14	1	0	2	0	0	179.106656	C11H14O2 H+ 
12	0	18	1	0	1	0	0	179.143041	C12H18O H+ 
13	0	22	1	0	0	0	0	179.179426	C13H22 H+ 
0	0	0	0	0	0	0	0	179.9303894	 
7	0	1	1	1	5	0	0	179.99275	C7HNO5 H+ 
4	0	5	1	1	7	0	0	180.01388	C4H5NO7 H+ 
8	0	5	1	1	4	0	0	180.029135	C8H5NO4 H+ 
12	0	5	1	1	1	0	0	180.04439	C12H5NO H+ 
9	0	9	1	1	3	0	0	180.06552	C9H9NO3 H+ 
10	0	13	1	1	2	0	0	180.101905	C10H13NO2 H+ 
7	0	17	1	1	4	0	0	180.123035	C7H17NO4 H+ 
11	0	17	1	1	1	0	0	180.13829	C11H17NO H+ 
8	0	21	1	1	3	0	0	180.15942	C8H21NO3 H+ 
12	0	21	1	1	0	0	0	180.174675	C12H21N H+ 
8	0	4	1	0	5	0	0	181.013151	C8H4O5 H+ 
9	0	8	1	0	4	0	0	181.049536	C9H8O4 H+ 
13	0	8	1	0	1	0	0	181.064791	C13H8O H+ 
10	0	12	1	0	3	0	0	181.085921	C10H12O3 H+ 
11	0	16	1	0	2	0	0	181.122306	C11H16O2 H+ 
12	0	20	1	0	1	0	0	181.158691	C12H20O H+ 
13	0	24	1	0	0	0	0	181.195076	C13H24 H+ 
7	0	3	1	1	5	0	0	182.0084	C7H3NO5 H+ 
11	0	3	1	1	2	0	0	182.023655	C11H3NO2 H+ 
4	0	7	1	1	7	0	0	182.02953	C4H7NO7 H+ 
8	0	7	1	1	4	0	0	182.044785	C8H7NO4 H+ 
9	0	11	1	1	3	0	0	182.08117	C9H11NO3 H+ 
13	0	11	1	1	0	0	0	182.096425	C13H11N H+ 
10	0	15	1	1	2	0	0	182.117555	C10H15NO2 H+ 
11	0	19	1	1	1	0	0	182.15394	C11H19NO H+ 
12	0	23	1	1	0	0	0	182.190325	C12H23N H+ 
9	0	27	1	1	2	0	0	182.211455	C9H27NO2 H+ 
8	0	6	1	0	5	0	0	183.028801	C8H6O5 H+ 
9	0	10	1	0	4	0	0	183.065186	C9H10O4 H+ 
10	0	14	1	0	3	0	0	183.101571	C10H14O3 H+ 
11	0	18	1	0	2	0	0	183.137956	C11H18O2 H+ 
12	0	22	1	0	1	0	0	183.174341	C12H22O H+ 
13	0	26	1	0	0	0	0	183.210726	C13H26 H+ 
7	0	5	1	1	5	0	0	184.02405	C7H5NO5 H+ 
8	0	9	1	1	4	0	0	184.060435	C8H9NO4 H+ 
5	0	13	1	1	6	0	0	184.081565	C5H13NO6 H+ 
13	0	13	1	1	0	0	0	184.112075	C13H13N H+ 
10	0	17	1	1	2	0	0	184.133205	C10H17NO2 H+ 
11	0	21	1	1	1	0	0	184.16959	C11H21NO H+ 
12	0	25	1	1	0	0	0	184.205975	C12H25N H+ 
8	0	8	1	0	5	0	0	185.044451	C8H8O5 H+ 
9	0	12	1	0	4	0	0	185.080836	C9H12O4 H+ 
10	0	16	1	0	3	0	0	185.117221	C10H16O3 H+ 
11	0	20	1	0	2	0	0	185.153606	C11H20O2 H+ 
12	0	24	1	0	1	0	0	185.189991	C12H24O H+ 
0	0	0	0	0	0	0	0	186.0219879	 
11	0	7	1	1	2	0	0	186.054955	C11H7NO2 H+ 
8	0	11	1	1	4	0	0	186.076085	C8H11NO4 H+ 
10	0	19	1	1	2	0	0	186.148855	C10H19NO2 H+ 
11	0	23	1	1	1	0	0	186.18524	C11H23NO H+ 
12	0	27	1	1	0	0	0	186.221625	C12H27N H+ 
8	0	10	1	0	5	0	0	187.060101	C8H10O5 H+ 
9	0	14	1	0	4	0	0	187.096486	C9H14O4 H+ 
10	0	18	1	0	3	0	0	187.132871	C10H18O3 H+ 
11	0	22	1	0	2	0	0	187.169256	C11H22O2 H+ 
6	0	5	1	1	6	0	0	188.018965	C6H5NO6 H+ 
7	0	9	1	1	5	0	0	188.05535	C7H9NO5 H+ 
11	0	9	1	1	2	0	0	188.070605	C11H9NO2 H+ 
8	0	13	1	1	4	0	0	188.091735	C8H13NO4 H+ 
0	0	0	0	0	0	0	0	188.1173248	 
9	0	17	1	1	3	0	0	188.12812	C9H17NO3 H+ 
10	0	21	1	1	2	0	0	188.164505	C10H21NO2 H+ 
11	0	25	1	1	1	0	0	188.20089	C11H25NO H+ 
7	0	8	1	0	6	0	0	189.039366	C7H8O6 H+ 
8	0	12	1	0	5	0	0	189.075751	C8H12O5 H+ 
12	0	12	1	0	2	0	0	189.091006	C12H12O2 H+ 
9	0	16	1	0	4	0	0	189.112136	C9H16O4 H+ 
13	0	16	1	0	1	0	0	189.127391	C13H16O H+ 
10	0	20	1	0	3	0	0	189.148521	C10H20O3 H+ 
14	0	20	1	0	0	0	0	189.163776	C14H20 H+ 
11	0	24	1	0	2	0	0	189.184906	C11H24O2 H+ 
9	0	3	1	1	4	0	0	190.013485	C9H3NO4 H+ 
10	0	7	1	1	3	0	0	190.04987	C10H7NO3 H+ 
7	0	11	1	1	5	0	0	190.071	C7H11NO5 H+ 
8	0	15	1	1	4	0	0	190.107385	C8H15NO4 H+ 
12	0	15	1	1	1	0	0	190.12264	C12H15NO H+ 
9	0	19	1	1	3	0	0	190.14377	C9H19NO3 H+ 
13	0	19	1	1	0	0	0	190.159025	C13H19N H+ 
10	0	23	1	1	2	0	0	190.180155	C10H23NO2 H+ 
0	0	0	0	0	0	0	0	190.9675446	 
10	0	6	1	0	4	0	0	191.033886	C10H6O4 H+ 
7	0	10	1	0	6	0	0	191.055016	C7H10O6 H+ 
11	0	10	1	0	3	0	0	191.070271	C11H10O3 H+ 
15	0	10	1	0	0	0	0	191.085526	C15H10 H+ 
12	0	14	1	0	2	0	0	191.106656	C12H14O2 H+ 
9	0	18	1	0	4	0	0	191.127786	C9H18O4 H+ 
10	0	22	1	0	3	0	0	191.164171	C10H22O3 H+ 
14	0	22	1	0	0	0	0	191.179426	C14H22 H+ 
0	0	0	0	0	0	0	0	191.8326111	 
0	0	0	0	0	0	0	0	191.9736176	 
6	0	9	1	1	6	0	0	192.050265	C6H9NO6 H+ 
10	0	9	1	1	3	0	0	192.06552	C10H9NO3 H+ 
11	0	13	1	1	2	0	0	192.101905	C11H13NO2 H+ 
8	0	17	1	1	4	0	0	192.123035	C8H17NO4 H+ 
12	0	17	1	1	1	0	0	192.13829	C12H17NO H+ 
13	0	21	1	1	0	0	0	192.174675	C13H21N H+ 
10	0	25	1	1	2	0	0	192.195805	C10H25NO2 H+ 
10	0	8	1	0	4	0	0	193.049536	C10H8O4 H+ 
7	0	12	1	0	6	0	0	193.070666	C7H12O6 H+ 
11	0	12	1	0	3	0	0	193.085921	C11H12O3 H+ 
8	0	16	1	0	5	0	0	193.107051	C8H16O5 H+ 
12	0	16	1	0	2	0	0	193.122306	C12H16O2 H+ 
0	0	0	0	0	0	0	0	193.1374664	 
13	0	20	1	0	1	0	0	193.158691	C13H20O H+ 
14	0	24	1	0	0	0	0	193.195076	C14H24 H+ 
5	0	7	1	1	7	0	0	194.02953	C5H7NO7 H+ 
9	0	7	1	1	4	0	0	194.044785	C9H7NO4 H+ 
6	0	11	1	1	6	0	0	194.065915	C6H11NO6 H+ 
10	0	11	1	1	3	0	0	194.08117	C10H11NO3 H+ 
7	0	15	1	1	5	0	0	194.1023	C7H15NO5 H+ 
11	0	15	1	1	2	0	0	194.117555	C11H15NO2 H+ 
12	0	19	1	1	1	0	0	194.15394	C12H19NO H+ 
13	0	23	1	1	0	0	0	194.190325	C13H23N H+ 
9	0	6	1	0	5	0	0	195.028801	C9H6O5 H+ 
10	0	10	1	0	4	0	0	195.065186	C10H10O4 H+ 
11	0	14	1	0	3	0	0	195.101571	C11H14O3 H+ 
15	0	14	1	0	0	0	0	195.116826	C15H14 H+ 
12	0	18	1	0	2	0	0	195.137956	C12H18O2 H+ 
13	0	22	1	0	1	0	0	195.174341	C13H22O H+ 
14	0	26	1	0	0	0	0	195.210726	C14H26 H+ 
5	0	9	1	1	7	0	0	196.04518	C5H9NO7 H+ 
13	0	9	1	1	1	0	0	196.07569	C13H9NO H+ 
10	0	13	1	1	3	0	0	196.09682	C10H13NO3 H+ 
14	0	13	1	1	0	0	0	196.112075	C14H13N H+ 
11	0	17	1	1	2	0	0	196.133205	C11H17NO2 H+ 
12	0	21	1	1	1	0	0	196.16959	C12H21NO H+ 
13	0	25	1	1	0	0	0	196.205975	C13H25N H+ 
8	0	4	1	0	6	0	0	197.008066	C8H4O6 H+ 
9	0	8	1	0	5	0	0	197.044451	C9H8O5 H+ 
10	0	12	1	0	4	0	0	197.080836	C10H12O4 H+ 
11	0	16	1	0	3	0	0	197.117221	C11H16O3 H+ 
12	0	20	1	0	2	0	0	197.153606	C12H20O2 H+ 
13	0	24	1	0	1	0	0	197.189991	C13H24O H+ 
14	0	28	1	0	0	0	0	197.226376	C14H28 H+ 
11	0	3	1	1	3	0	0	198.01857	C11H3NO3 H+ 
0	0	0	0	0	0	0	0	198.0347443	 
5	0	11	1	1	7	0	0	198.06083	C5H11NO7 H+ 
9	0	11	1	1	4	0	0	198.076085	C9H11NO4 H+ 
13	0	11	1	1	1	0	0	198.09134	C13H11NO H+ 
10	0	15	1	1	3	0	0	198.11247	C10H15NO3 H+ 
14	0	15	1	1	0	0	0	198.127725	C14H15N H+ 
11	0	19	1	1	2	0	0	198.148855	C11H19NO2 H+ 
12	0	23	1	1	1	0	0	198.18524	C12H23NO H+ 
9	0	10	1	0	5	0	0	199.060101	C9H10O5 H+ 
10	0	14	1	0	4	0	0	199.096486	C10H14O4 H+ 
11	0	18	1	0	3	0	0	199.132871	C11H18O3 H+ 
12	0	22	1	0	2	0	0	199.169256	C12H22O2 H+ 
13	0	26	1	0	1	0	0	199.205641	C13H26O H+ 
5	0	13	1	1	7	0	0	200.07648	C5H13NO7 H+ 
10	0	17	1	1	3	0	0	200.12812	C10H17NO3 H+ 
7	0	21	1	1	5	0	0	200.14925	C7H21NO5 H+ 
12	0	25	1	1	1	0	0	200.20089	C12H25NO H+ 
0	0	0	0	0	0	0	0	201.0450134	 
9	0	12	1	0	5	0	0	201.075751	C9H12O5 H+ 
10	0	16	1	0	4	0	0	201.112136	C10H16O4 H+ 
11	0	20	1	0	3	0	0	201.148521	C11H20O3 H+ 
15	0	20	1	0	0	0	0	201.163776	C15H20 H+ 
12	0	24	1	0	2	0	0	201.184906	C12H24O2 H+ 
11	0	7	1	1	3	0	0	202.04987	C11H7NO3 H+ 
8	0	11	1	1	5	0	0	202.071	C8H11NO5 H+ 
9	0	15	1	1	4	0	0	202.107385	C9H15NO4 H+ 
10	0	19	1	1	3	0	0	202.14377	C10H19NO3 H+ 
11	0	23	1	1	2	0	0	202.180155	C11H23NO2 H+ 
12	0	27	1	1	1	0	0	202.21654	C12H27NO H+ 
8	0	10	1	0	6	0	0	203.055016	C8H10O6 H+ 
12	0	10	1	0	3	0	0	203.070271	C12H10O3 H+ 
9	0	14	1	0	5	0	0	203.091401	C9H14O5 H+ 
13	0	14	1	0	2	0	0	203.106656	C13H14O2 H+ 
10	0	18	1	0	4	0	0	203.127786	C10H18O4 H+ 
14	0	18	1	0	1	0	0	203.143041	C14H18O H+ 
15	0	22	1	0	0	0	0	203.179426	C15H22 H+ 
12	0	26	1	0	2	0	0	203.200556	C12H26O2 H+ 
0	0	0	0	0	0	0	0	204.0565643	 
8	0	13	1	1	5	0	0	204.08665	C8H13NO5 H+ 
9	0	17	1	1	4	0	0	204.123035	C9H17NO4 H+ 
10	0	21	1	1	3	0	0	204.15942	C10H21NO3 H+ 
0	0	0	0	0	0	0	0	204.1868286	 
11	0	25	1	1	2	0	0	204.195805	C11H25NO2 H+ 
7	0	8	1	0	7	0	0	205.034281	C7H8O7 H+ 
11	0	8	1	0	4	0	0	205.049536	C11H8O4 H+ 
8	0	12	1	0	6	0	0	205.070666	C8H12O6 H+ 
12	0	12	1	0	3	0	0	205.085921	C12H12O3 H+ 
16	0	12	1	0	0	0	0	205.101176	C16H12 H+ 
13	0	16	1	0	2	0	0	205.122306	C13H16O2 H+ 
14	0	20	1	0	1	0	0	205.158691	C14H20O H+ 
15	0	24	1	0	0	0	0	205.195076	C15H24 H+ 
12	0	28	1	0	2	0	0	205.216206	C12H28O2 H+ 
6	0	7	1	1	7	0	0	206.02953	C6H7NO7 H+ 
7	0	11	1	1	6	0	0	206.065915	C7H11NO6 H+ 
15	0	11	1	1	0	0	0	206.096425	C15H11N H+ 
12	0	15	1	1	2	0	0	206.117555	C12H15NO2 H+ 
9	0	19	1	1	4	0	0	206.138685	C9H19NO4 H+ 
13	0	19	1	1	1	0	0	206.15394	C13H19NO H+ 
10	0	23	1	1	3	0	0	206.17507	C10H23NO3 H+ 
14	0	23	1	1	0	0	0	206.190325	C14H23N H+ 
11	0	27	1	1	2	0	0	206.211455	C11H27NO2 H+ 
0	0	0	0	0	0	0	0	206.996521	 
10	0	6	1	0	5	0	0	207.028801	C10H6O5 H+ 
14	0	6	1	0	2	0	0	207.044056	C14H6O2 H+ 
11	0	10	1	0	4	0	0	207.065186	C11H10O4 H+ 
15	0	10	1	0	1	0	0	207.080441	C15H10O H+ 
12	0	14	1	0	3	0	0	207.101571	C12H14O3 H+ 
13	0	18	1	0	2	0	0	207.137956	C13H18O2 H+ 
10	0	22	1	0	4	0	0	207.159086	C10H22O4 H+ 
14	0	22	1	0	1	0	0	207.174341	C14H22O H+ 
15	0	26	1	0	0	0	0	207.210726	C15H26 H+ 
13	0	5	1	1	2	0	0	208.039305	C13H5NO2 H+ 
10	0	9	1	1	4	0	0	208.060435	C10H9NO4 H+ 
7	0	13	1	1	6	0	0	208.081565	C7H13NO6 H+ 
11	0	13	1	1	3	0	0	208.09682	C11H13NO3 H+ 
15	0	13	1	1	0	0	0	208.112075	C15H13N H+ 
12	0	17	1	1	2	0	0	208.133205	C12H17NO2 H+ 
9	0	21	1	1	4	0	0	208.154335	C9H21NO4 H+ 
13	0	21	1	1	1	0	0	208.16959	C13H21NO H+ 
14	0	25	1	1	0	0	0	208.205975	C14H25N H+ 
11	0	29	1	1	2	0	0	208.227105	C11H29NO2 H+ 
9	0	4	1	0	6	0	0	209.008066	C9H4O6 H+ 
10	0	8	1	0	5	0	0	209.044451	C10H8O5 H+ 
11	0	12	1	0	4	0	0	209.080836	C11H12O4 H+ 
12	0	16	1	0	3	0	0	209.117221	C12H16O3 H+ 
13	0	20	1	0	2	0	0	209.153606	C13H20O2 H+ 
14	0	24	1	0	1	0	0	209.189991	C14H24O H+ 
15	0	28	1	0	0	0	0	209.226376	C15H28 H+ 
13	0	7	1	1	2	0	0	210.054955	C13H7NO2 H+ 
10	0	11	1	1	4	0	0	210.076085	C10H11NO4 H+ 
14	0	11	1	1	1	0	0	210.09134	C14H11NO H+ 
11	0	15	1	1	3	0	0	210.11247	C11H15NO3 H+ 
15	0	15	1	1	0	0	0	210.127725	C15H15N H+ 
12	0	19	1	1	2	0	0	210.148855	C12H19NO2 H+ 
13	0	23	1	1	1	0	0	210.18524	C13H23NO H+ 
14	0	27	1	1	0	0	0	210.221625	C14H27N H+ 
11	0	31	1	1	2	0	0	210.242755	C11H31NO2 H+ 
9	0	6	1	0	6	0	0	211.023716	C9H6O6 H+ 
10	0	10	1	0	5	0	0	211.060101	C10H10O5 H+ 
11	0	14	1	0	4	0	0	211.096486	C11H14O4 H+ 
12	0	18	1	0	3	0	0	211.132871	C12H18O3 H+ 
13	0	22	1	0	2	0	0	211.169256	C13H22O2 H+ 
14	0	26	1	0	1	0	0	211.205641	C14H26O H+ 
15	0	30	1	0	0	0	0	211.242026	C15H30 H+ 
5	0	9	1	1	8	0	0	212.040095	C5H9NO8 H+ 
13	0	9	1	1	2	0	0	212.070605	C13H9NO2 H+ 
10	0	13	1	1	4	0	0	212.091735	C10H13NO4 H+ 
7	0	17	1	1	6	0	0	212.112865	C7H17NO6 H+ 
11	0	17	1	1	3	0	0	212.12812	C11H17NO3 H+ 
15	0	17	1	1	0	0	0	212.143375	C15H17N H+ 
12	0	21	1	1	2	0	0	212.164505	C12H21NO2 H+ 
13	0	25	1	1	1	0	0	212.20089	C13H25NO H+ 
14	0	29	1	1	0	0	0	212.237275	C14H29N H+ 
9	0	8	1	0	6	0	0	213.039366	C9H8O6 H+ 
10	0	12	1	0	5	0	0	213.075751	C10H12O5 H+ 
11	0	16	1	0	4	0	0	213.112136	C11H16O4 H+ 
12	0	20	1	0	3	0	0	213.148521	C12H20O3 H+ 
16	0	20	1	0	0	0	0	213.163776	C16H20 H+ 
13	0	24	1	0	2	0	0	213.184906	C13H24O2 H+ 
14	0	28	1	0	1	0	0	213.221291	C14H28O H+ 
5	0	11	1	1	8	0	0	214.055745	C5H11NO8 H+ 
6	0	15	1	1	7	0	0	214.09213	C6H15NO7 H+ 
11	0	19	1	1	3	0	0	214.14377	C11H19NO3 H+ 
8	0	23	1	1	5	0	0	214.1649	C8H23NO5 H+ 
12	0	23	1	1	2	0	0	214.180155	C12H23NO2 H+ 
13	0	27	1	1	1	0	0	214.21654	C13H27NO H+ 
14	0	31	1	1	0	0	0	214.252925	C14H31N H+ 
9	0	10	1	0	6	0	0	215.055016	C9H10O6 H+ 
10	0	14	1	0	5	0	0	215.091401	C10H14O5 H+ 
14	0	14	1	0	2	0	0	215.106656	C14H14O2 H+ 
11	0	18	1	0	4	0	0	215.127786	C11H18O4 H+ 
12	0	22	1	0	3	0	0	215.164171	C12H22O3 H+ 
16	0	22	1	0	0	0	0	215.179426	C16H22 H+ 
13	0	26	1	0	2	0	0	215.200556	C13H26O2 H+ 
14	0	30	1	0	1	0	0	215.236941	C14H30O H+ 
15	0	5	1	1	1	0	0	216.04439	C15H5NO H+ 
12	0	9	1	1	3	0	0	216.06552	C12H9NO3 H+ 
9	0	13	1	1	5	0	0	216.08665	C9H13NO5 H+ 
10	0	17	1	1	4	0	0	216.123035	C10H17NO4 H+ 
7	0	21	1	1	6	0	0	216.144165	C7H21NO6 H+ 
11	0	21	1	1	3	0	0	216.15942	C11H21NO3 H+ 
15	0	21	1	1	0	0	0	216.174675	C15H21N H+ 
12	0	25	1	1	2	0	0	216.195805	C12H25NO2 H+ 
13	0	29	1	1	1	0	0	216.23219	C13H29NO H+ 
8	0	8	1	0	7	0	0	217.034281	C8H8O7 H+ 
9	0	12	1	0	6	0	0	217.070666	C9H12O6 H+ 
10	0	16	1	0	5	0	0	217.107051	C10H16O5 H+ 
14	0	16	1	0	2	0	0	217.122306	C14H16O2 H+ 
11	0	20	1	0	4	0	0	217.143436	C11H20O4 H+ 
15	0	20	1	0	1	0	0	217.158691	C15H20O H+ 
12	0	24	1	0	3	0	0	217.179821	C12H24O3 H+ 
16	0	24	1	0	0	0	0	217.195076	C16H24 H+ 
13	0	28	1	0	2	0	0	217.216206	C13H28O2 H+ 
7	0	7	1	1	7	0	0	218.02953	C7H7NO7 H+ 
8	0	11	1	1	6	0	0	218.065915	C8H11NO6 H+ 
9	0	15	1	1	5	0	0	218.1023	C9H15NO5 H+ 
10	0	19	1	1	4	0	0	218.138685	C10H19NO4 H+ 
7	0	23	1	1	6	0	0	218.159815	C7H23NO6 H+ 
11	0	23	1	1	3	0	0	218.17507	C11H23NO3 H+ 
15	0	23	1	1	0	0	0	218.190325	C15H23N H+ 
12	0	27	1	1	2	0	0	218.211455	C12H27NO2 H+ 
8	0	10	1	0	7	0	0	219.049931	C8H10O7 H+ 
16	0	10	1	0	1	0	0	219.080441	C16H10O H+ 
13	0	14	1	0	3	0	0	219.101571	C13H14O3 H+ 
10	0	18	1	0	5	0	0	219.122701	C10H18O5 H+ 
14	0	18	1	0	2	0	0	219.137956	C14H18O2 H+ 
